Model,Accuracy,Precision (Weighted),Recall (Weighted),F1-Score (Weighted)
Logistic Regression,0.6212278876170656,0.6222731712364146,0.6212278876170656,0.6158915831365575
Random Forest,0.6732570239334027,0.6836560663446076,0.6732570239334027,0.6717241388814499
XGBoost,0.663891779396462,0.668247296268376,0.663891779396462,0.6643633540243327
LightGBM,0.6805411030176899,0.6846160476098441,0.6805411030176899,0.6809476978340222
