Model,RMSE,MAE,R²
Linear Regression,9.828037075776848e-15,7.761625773820658e-15,1.0
Ridge,0.014057295436816518,0.011261055172125065,0.9999971100524983
Lasso,0.2319861785450462,0.20925206726167958,0.9992129349446979
Random Forest,0.04023877834319861,0.0045321510706262755,0.999976320311622
XGBoost,0.15693815145092205,0.0343494358074264,0.9996398001940748
LightGBM,0.067275449576461,0.018097535559219263,0.9999338088957782
XGBoost (Optimized),0.1303073979842267,0.02996608803541766,0.9997516726498122
